park_name,scientific_name,category,common_names,conservation_status,observations
Bryce,Ageratina altissima,Vascular Plant,White Snakeroot,Least concern,94
Bryce,Ageratina altissima var. altissima,Vascular Plant,White Snakeroot,Least concern,120
Bryce,Ageratina altissima var. roanensis,Vascular Plant,White Snakeroot,Least concern,96
Bryce,Ageratina aromatica var. aromatica,Vascular Plant,Lesser Snakeroot,Least concern,110
Bryce,Ageratina occidentalis,Vascular Plant,Western Eupatorium,Least concern,89
Bryce,Agkistrodon contortrix mokasen,Reptile,Northern Copperhead,Least concern,101
Bryce,Agoseris aurantiaca,Vascular Plant,Orange Agoseris,Least concern,111
Bryce,Agoseris elata,Vascular Plant,Tall Agoseris,Least concern,114
Bryce,Agoseris glauca var. dasycephala,Vascular Plant,Pale Agoseris,Least concern,114
Bryce,Agoseris glauca var. glauca,Vascular Plant,Pale Agoseris,Least concern,100
Bryce,Agoseris glauca var. laciniata,Vascular Plant,Arizona Mountain Dandelion,Least concern,120
Bryce,Agoseris glauca var. monticola,Vascular Plant,Pale Agoseris,Least concern,61
Bryce,Agoseris grandiflora,Vascular Plant,Bigflower Agoseris,Least concern,107
Bryce,Agoseris heterophylla,Vascular Plant,Annual Agoseris,Least concern,120
Bryce,Agoseris lackschewitzii,Vascular Plant,Mill Creek Agoseris,Least concern,94
Bryce,Agoseris retrorsa,Vascular Plant,Spearleaf Agoseris,Least concern,124
Bryce,Agrimonia gryposepala,Vascular Plant,Large-Fruited Agrimony,Least concern,80
Bryce,Agrimonia microcarpa,Vascular Plant,Smallfruit Agrimony,Least concern,101
Bryce,Agrimonia parviflora,Vascular Plant,Small-Flower Groovebur,Least concern,105
Bryce,Agrimonia pubescens,Vascular Plant,Hairy Agrimony,Least concern,117
Bryce,Agrimonia rostellata,Vascular Plant,Beaked Agrimony,Least concern,101
Bryce,Agrostemma githago,Vascular Plant,Common Corncockle,Least concern,92
Bryce,Agrostis capillaris,Vascular Plant,Rhode Island Bent,Least concern,208
Bryce,Agrostis elliottiana,Vascular Plant,Elliott Bentgrass,Least concern,74
Bryce,Agrostis exarata,Vascular Plant,Spike Bentgrass,Least concern,105
Bryce,Agrostis gigantea,Vascular Plant,Redtop,Least concern,220
Bryce,Agrostis humilis,Vascular Plant,Alpine Bentgrass,Least concern,108
Bryce,Agrostis hyemalis,Vascular Plant,Hairgrass,Least concern,64
Bryce,Agrostis idahoensis,Vascular Plant,Idaho Bentgrass,Least concern,91
Bryce,Agrostis mertensii,Vascular Plant,Northern Agrostis,Least concern,162
Bryce,Agrostis oregonensis,Vascular Plant,Oregon Bentgrass,Least concern,87
Bryce,Agrostis pallens,Vascular Plant,Seashore Bentgrass,Least concern,77
Bryce,Agrostis perennans,Vascular Plant,Perenial Bentgrass,Least concern,134
Bryce,Agrostis rossiae,Vascular Plant,Mountain Bentgrass,Least concern,107
Bryce,Agrostis scabra,Vascular Plant,Rough Bentgrass,Least concern,178
Bryce,Agrostis scabra var. scabra,Vascular Plant,Rough Bentgrass,Least concern,92
Bryce,Agrostis stolonifera,Vascular Plant,Creeping Bentgrass,Least concern,182
Bryce,Agrostis thurberiana,Vascular Plant,Thurber's Bentgrass,Least concern,105
Bryce,Agrostis variabilis,Vascular Plant,Mountain Bentgrass,Least concern,196
Bryce,Ailanthus altissima,Vascular Plant,Tree-Of-Heaven,Least concern,73
Bryce,Aimophila aestivalis,Bird,Bachman's Sparrow,Species of Concern,94
Bryce,Aimophila ruficeps,Bird,Rufous-Crowned Sparrow,Least concern,82
Bryce,Aira caryophyllea,Vascular Plant,Silver Hairgrass,Least concern,96
Bryce,Aix sponsa,Bird,Wood Duck,Least concern,95
Bryce,Ajuga reptans,Vascular Plant,Bugleweed,Least concern,91
Bryce,Albizia julibrissin,Vascular Plant,Mimosa,Least concern,71
Bryce,Alcea rosea,Vascular Plant,Hollyhock,Least concern,108
Bryce,Alces alces,Mammal,Eurasian Elk,Least concern,101
Bryce,Alces alces shirasi,Mammal,Yellowstone Moose,Least concern,81
Bryce,Alectoris chukar,Bird,Chukar,Least concern,229
Bryce,Aletris farinosa,Vascular Plant,Colic Root,Least concern,79
Bryce,Alisma plantago-aquatica,Vascular Plant,American Waterplantain,Least concern,97
Bryce,Alisma subcordatum,Vascular Plant,Water-Plantain,Least concern,86
Bryce,Alisma triviale,Vascular Plant,Northern Water Plantain,Least concern,87
Bryce,Alliaria petiolata,Vascular Plant,Garlic Mustard,Least concern,99
Bryce,Allium ampeloprasum,Vascular Plant,Garlic,Least concern,121
Bryce,Allium amplectens,Vascular Plant,Narrowleaf Onion,Least concern,96
Bryce,Allium bisceptrum var. bisceptrum,Vascular Plant,Twincrest Onion,Least concern,105
Bryce,Allium brandegeei,Vascular Plant,Brandegee's Onion,Least concern,104
Bryce,Allium brevistylum,Vascular Plant,Shortstyle Onion,Least concern,110
Bryce,Allium burdickii,Vascular Plant,White-Stemmed Ramps,Least concern,98
Bryce,Allium campanulatum,Vascular Plant,Dusky Onion,Least concern,136
Bryce,Allium canadense,Vascular Plant,Meadow Onion,Least concern,90
Bryce,Allium cernuum,Vascular Plant,Nodding Onion,Least concern,112
Bryce,Allium cernuum var. cernuum,Vascular Plant,Nodding Onion,Least concern,112
Bryce,Allium geyeri var. tenerum,Vascular Plant,Bulbil Onion,Least concern,73
Bryce,Allium hyalinum,Vascular Plant,Glassy Onion,Least concern,106
Bryce,Allium obtusum,Vascular Plant,Red Sierra Onion,Least concern,127
Bryce,Allium obtusum var. conspicuum,Vascular Plant,Red Sierra Onion,Least concern,113
Bryce,Allium obtusum var. obtusum,Vascular Plant,Red Sierra Onion,Least concern,108
Bryce,Allium schoenoprasum,Vascular Plant,Wild Chive,Least concern,95
Bryce,Allium textile,Vascular Plant,Prairie Onion,Least concern,105
Bryce,Allium tribracteatum,Vascular Plant,Threebract Onion,Species of Concern,125
Bryce,Allium tricoccum,Vascular Plant,Ramps,Least concern,104
Bryce,Allium validum,Vascular Plant,Pacific Onion,Least concern,117
Bryce,Allium vineale,Vascular Plant,Field Garlic,Least concern,78
Bryce,Allium yosemitense,Vascular Plant,Yosemite Onion,Least concern,98
Bryce,Allophyllum divaricatum,Vascular Plant,Purple False Gilyflower,Least concern,83
Bryce,Allophyllum gilioides ssp. gilioides,Vascular Plant,Dense False Gilia,Least concern,55
Bryce,Allophyllum gilioides ssp. violaceum,Vascular Plant,Dense False Gilia,Least concern,127
Bryce,Allophyllum integrifolium,Vascular Plant,Mountain False Gilia,Least concern,114
Bryce,Allotropa virgata,Vascular Plant,Sugarstick,Least concern,94
Bryce,Alnus incana ssp. tenuifolia,Vascular Plant,Mountain Alder,Least concern,115
Bryce,Alnus rhombifolia,Vascular Plant,Rhombie Leaf Alder,Least concern,106
Bryce,Alnus serrulata,Vascular Plant,Brook-Side Alder,Least concern,81
Bryce,Alopecurus aequalis,Vascular Plant,Short Foxtail,Least concern,73
Bryce,Alopecurus arundinaceus,Vascular Plant,Creeping Foxtail,Least concern,76
Bryce,Alopecurus borealis,Vascular Plant,Boreal Alopecurus,Least concern,94
Bryce,Alopecurus carolinianus,Vascular Plant,Carolina Foxtail,Least concern,140
Bryce,Alopecurus pratensis,Vascular Plant,Field Meadow-Foxtail,Least concern,130
Bryce,Alyssum alyssoides,Vascular Plant,Pale Alyssum,Least concern,86
Bryce,Alyssum desertorum,Vascular Plant,Desert Alyssum,Least concern,106
Bryce,Amaranthus albus,Vascular Plant,White Amaranthus,Least concern,268
Bryce,Amaranthus blitoides,Vascular Plant,Mat Amaranth,Least concern,98
Bryce,Amaranthus californicus,Vascular Plant,California Amaranth,Least concern,82
Bryce,Amaranthus hybridus,Vascular Plant,Amaranthus,Least concern,128
Bryce,Amaranthus retroflexus,Vascular Plant,Green Amaranthus,Least concern,181
Bryce,Amaranthus spinosus,Vascular Plant,Spiny Amaranth,Least concern,93
Bryce,Ambloplites rupestris,Fish,Rock Bass,Least concern,95
Bryce,Amblystegium serpens,Nonvascular Plant,Amblystegium Moss,Least concern,112
Bryce,Amblystegium varium,Nonvascular Plant,Amblystegium Moss,Least concern,74
Bryce,Ambrosia artemisiifolia,Vascular Plant,Annual Ragweed,Least concern,129
Bryce,Ambrosia bidentata,Vascular Plant,Lanceleaf Ragweed,Least concern,108
Bryce,Ambrosia psilostachya,Vascular Plant,Cuman Ragweed,Least concern,90
Bryce,Ambrosia trifida,Vascular Plant,Giant Ragweed,Least concern,91
Bryce,Ambystoma maculatum,Amphibian,Spotted Salamander,Least concern,92
Bryce,Ambystoma mavortium melanostictum,Amphibian,Blotched Tiger Salamander,Least concern,84
Bryce,Ambystoma opacum,Amphibian,Marbled Salamander,Least concern,115
Bryce,Ambystoma talpoideum,Amphibian,Mole Salamander,Least concern,105
Bryce,Ameiurus melas,Fish,Black Bullhead,Least concern,100
Bryce,Ameiurus natalis,Fish,Yellow Bullhead,Least concern,105
Bryce,Amelanchier alnifolia var. alnifolia,Vascular Plant,Saskatoon Serviceberry,Least concern,136
Bryce,Amelanchier alnifolia var. pumila,Vascular Plant,Dwarf Serviceberry,Least concern,130
Bryce,Amelanchier arborea,Vascular Plant,Downy Serviceberry,Least concern,87
Bryce,Amelanchier canadensis,Vascular Plant,Canadian Serviceberry,Least concern,71
Bryce,Amelanchier laevis,Vascular Plant,Allegheny Serviceberry,Least concern,96
Bryce,Amelanchier sanguinea,Vascular Plant,Roundleaf Shadbush,Least concern,113
Bryce,Amelanchier utahensis,Vascular Plant,Utah Serviceberry,Least concern,111
Bryce,Amianthium muscitoxicum,Vascular Plant,Fly Poison,Least concern,121
Bryce,Ammannia coccinea,Vascular Plant,Ammannia,Least concern,81
Bryce,Ammodramus henslowii,Bird,Henslow's Sparrow,Least concern,102
Bryce,Ammodramus leconteii,Bird,Le Conte's Sparrow,Least concern,81
Bryce,Ammodramus savannarum,Bird,Grasshopper Sparrow,Species of Concern,97
Bryce,Ammoselinum butleri,Vascular Plant,Butler's Sandparsley,Least concern,112
Bryce,Amorpha fruticosa,Vascular Plant,False Indigo,Least concern,126
Bryce,Amorpha georgiana,Vascular Plant,Georgia Leadplant,Least concern,116
Bryce,Amorpha glabra,Vascular Plant,Smooth False Indigo,Least concern,98
Bryce,Ampelopsis arborea,Vascular Plant,Peppervine,Least concern,88
Bryce,Ampelopsis cordata,Vascular Plant,Peppervine,Least concern,110
Bryce,Amphicarpaea bracteata,Vascular Plant,American Hog-Peanut,Least concern,156
Bryce,Amphidium mougeotii,Nonvascular Plant,Mougeot's Amphidium Moss,Least concern,74
Bryce,Amphispiza bilineata,Bird,Black-Throated Sparrow,Least concern,89
Bryce,Amsinckia lycopsoides,Vascular Plant,Bugloss Fiddleneck,Least concern,92
Bryce,Amsinckia menziesii,Vascular Plant,Menzies' Fiddleneck,Least concern,121
Bryce,Amsinckia menziesii var. intermedia,Vascular Plant,Coast Buckthorn,Least concern,125
Bryce,Amsinckia menziesii var. menziesii,Vascular Plant,Menzies' Fiddleneck,Least concern,87
Bryce,Amsonia tabernaemontana var. tabernaemontana,Vascular Plant,Eastern Bluestar,Least concern,91
Bryce,Anacamptodon splachnoides,Nonvascular Plant,Anacamptodon Moss,Least concern,126
Bryce,Anagallis arvensis,Vascular Plant,Scarlet Pimpernel,Least concern,214
Bryce,Anagallis minima,Vascular Plant,Chaffweed,Least concern,118
Bryce,Anaphalis margaritacea,Vascular Plant,Common Pearlyeverlasting,Least concern,134
Bryce,Anas acuta,Bird,Northern Pintail,Least concern,86
Bryce,Anas americana,Bird,American Wigeon,Least concern,88
Bryce,Anas clypeata,Bird,Northern Shoveler,Least concern,91
Bryce,Anas crecca,Bird,Green-Winged Teal,Least concern,72
Bryce,Anas cyanoptera,Bird,Cinnamon Teal,Least concern,94
Bryce,Anas discors,Bird,Blue-Winged Teal,Least concern,107
Bryce,Anas penelope,Bird,Eurasian Wigeon,Least concern,74
Bryce,Anas platyrhynchos,Bird,Mallard,Least concern,103
Bryce,Anas rubripes,Bird,American Black Duck,Least concern,87
Bryce,Anas strepera,Bird,Gadwall,Least concern,139
Bryce,Anastrophyllum helleranum,Nonvascular Plant,Heller's Anastrophyllum,Least concern,115
Bryce,Anastrophyllum michauxii,Nonvascular Plant,Michaux's Anastrophyllum,Least concern,93
Bryce,Anastrophyllum minutum,Nonvascular Plant,Anastrophyllum,Least concern,112
Bryce,Anastrophyllum saxicola,Nonvascular Plant,Anastrophyllum,Least concern,86
Bryce,Anaxyrus boreas boreas,Amphibian,Boreal Toad,Least concern,66
Bryce,Anaxyrus boreas halophilus,Amphibian,California Toad,Least concern,115
Bryce,Anaxyrus canorus,Amphibian,Yosemite Toad,Threatened,43
Bryce,Andreaea rothii,Nonvascular Plant,Roth's Andreaea Moss,Least concern,93
Bryce,Andreaea rupestris,Nonvascular Plant,Andreaea Moss,Least concern,96
Bryce,Andropogon gerardii,Vascular Plant,Big Bluestem,Least concern,126
Bryce,Andropogon glomeratus,Vascular Plant,Bushy Bluestem,Least concern,65
Bryce,Andropogon gyrans var. gyrans,Vascular Plant,Elliott Bluestem,Least concern,111
Bryce,Andropogon ternarius,Vascular Plant,Silver Bluestem,Least concern,103
Bryce,Andropogon virginicus,Vascular Plant,Broom-Sedge,Least concern,52
Bryce,Andropogon virginicus var. virginicus,Vascular Plant,Broomsedge,Least concern,44
Bryce,Androsace filiformis,Vascular Plant,Filiform Rockjasmine,Least concern,116
Bryce,Androsace occidentalis,Vascular Plant,Western Rockjasmine,Least concern,77
Bryce,Androsace septentrionalis ssp. subumbellata,Vascular Plant,Pygmyflower Rockjasmine,Least concern,122
Bryce,Aneides lugubris,Amphibian,Arboreal Salamander,Least concern,99
Bryce,Anelsonia eurycarpa,Vascular Plant,Broad Pod Anelsonia,Least concern,113
Bryce,Anemone drummondii,Vascular Plant,Drummond's Anemone,Least concern,81
Bryce,Anemone lancifolia,Vascular Plant,Lance-Leaved Wood Anemone,Least concern,52
Bryce,Anemone occidentalis,Vascular Plant,White Pasqueflower,Least concern,90
Bryce,Anemone parviflora,Vascular Plant,Smallflowered Anemone,Least concern,110
Bryce,Anemone patens var. multifida,Vascular Plant,Cutleaf Anemone,Least concern,118
Bryce,Anemone quinquefolia,Vascular Plant,Wood Anemone,Least concern,85
Bryce,Anemone tetonensis,Vascular Plant,Teton Anemone,Least concern,125
Bryce,Anemone virginiana,Vascular Plant,Thimbleweed,Least concern,96
Bryce,Aneura pinguis,Nonvascular Plant,Aneura,Least concern,126
Bryce,Angelica arguta,Vascular Plant,Angelica,Least concern,120
Bryce,Angelica atropurpurea,Vascular Plant,Purplestem Angelica,Least concern,101
Bryce,Angelica breweri,Vascular Plant,Brewer's Angelica,Least concern,84
Bryce,Angelica lineariloba,Vascular Plant,Poison Angelica,Least concern,117
Bryce,Angelica pinnata,Vascular Plant,Smallleaf Angelica,Least concern,109
Bryce,Angelica roseana,Vascular Plant,Rose Angelica,Least concern,109
Bryce,Angelica triquinata,Vascular Plant,Filmy Angelica,Least concern,84
Bryce,Angelica venenosa,Vascular Plant,Hairy Angelica,Least concern,97
Bryce,Anoectangium aestivum,Nonvascular Plant,Anoectangium Moss,Least concern,134
Bryce,Anolis carolinensis carolinensis,Reptile,Northern Green Anole,Least concern,111
Bryce,Anomobryum filiforme,Nonvascular Plant,Filiform Anomobryum Moss,Least concern,116
Bryce,Anomodon attenuatus,Nonvascular Plant,Anomodon Moss,Least concern,133
Bryce,Anomodon minor,Nonvascular Plant,Anomodon Moss,Least concern,63
Bryce,Anomodon rostratus,Nonvascular Plant,Anomodon Moss,Least concern,113
Bryce,Anomodon rugelii,Nonvascular Plant,Rugel's Anomodon Moss,Least concern,95
Bryce,Anomodon viticulosus,Nonvascular Plant,Anomodon Moss,Least concern,110
Bryce,Anser albifrons,Bird,Greater White-Fronted Goose,Least concern,83
Bryce,Antennaria anaphaloides,Vascular Plant,Pearly Pussytoes,Least concern,122
Bryce,Antennaria argentea,Vascular Plant,Silver Pussytoes,Least concern,84
Bryce,Antennaria aromatica,Vascular Plant,Scented Pussytoes,Least concern,74
Bryce,Antennaria corymbosa,Vascular Plant,Flattop Pussytoes,Least concern,110
Bryce,Antennaria dimorpha,Vascular Plant,Low Everlasting,Least concern,95
Bryce,Antennaria flagellaris,Vascular Plant,Stoloniferous Pussy-Toes,Least concern,92
Bryce,Antennaria lanata,Vascular Plant,Woolly Pussytoes,Least concern,99
Bryce,Antennaria luzuloides,Vascular Plant,Rush Pussytoes,Least concern,104
Bryce,Antennaria media,Vascular Plant,Rocky Mountain Pussytoes,Least concern,139
Bryce,Antennaria microphylla,Vascular Plant,Littleleaf Pussytoes,Least concern,103
Bryce,Antennaria neglecta,Vascular Plant,Field Pussy Toes,Least concern,113
Bryce,Antennaria parlinii ssp. fallax,Vascular Plant,Parlin's Pussytoes,Least concern,68
Bryce,Antennaria parvifolia,Vascular Plant,Smallleaf Pussytoes,Least concern,98
Bryce,Antennaria plantaginifolia,Vascular Plant,Plantain-Leaf Pussytoes,Least concern,131
Bryce,Antennaria pulcherrima,Vascular Plant,Showy Pussytoes,Least concern,99
Bryce,Antennaria racemosa,Vascular Plant,Raceme Pussytoes,Least concern,83
Bryce,Antennaria rosea,Vascular Plant,Rosy Pussytoes,Least concern,109
Bryce,Antennaria rosea ssp. confinis,Vascular Plant,Rosy Pussytoes,Least concern,93
Bryce,Antennaria solitaria,Vascular Plant,Single-Head Pussytoes,Least concern,123
Bryce,Antennaria umbrinella,Vascular Plant,Brown Everlasting,Least concern,100
Bryce,Anthemis arvensis,Vascular Plant,Corn Camomile,Least concern,98
Bryce,Anthemis cotula,Vascular Plant,Mayweed,Least concern,206
Bryce,Anthemis tinctoria,Vascular Plant,Golden Chamomile,Least concern,116
Bryce,Anthoxanthum odoratum,Vascular Plant,Sweet Vernal Grass,Least concern,116
Bryce,Anthriscus caucalis,Vascular Plant,Bur Chervil,Least concern,100
Bryce,Anthus rubescens,Bird,Water Pipit,Least concern,213
Bryce,Anthus spinoletta,Bird,Water Pipit,Least concern,93
Bryce,Antilocapra americana,Mammal,Antelope,Least concern,98
Bryce,Antrozous pallidus,Mammal,Pallid Bat,Species of Concern,67
Bryce,Apalone spinifera spinifera,Reptile,Eastern Spiny Softshell,Least concern,84
Bryce,Apera interrupta,Vascular Plant,Dense Silkybent,Least concern,93
Bryce,Aphanes microcarpa,Vascular Plant,Alchemilla,Least concern,86
Bryce,Aphanorrhegma serratum,Nonvascular Plant,Serrate Aphanorrhegma Moss,Least concern,94
Bryce,Aphelocoma californica,Bird,Western Scrub-Jay,Least concern,73
Bryce,Apios americana,Vascular Plant,American Groundnut,Least concern,93
Bryce,Aplectrum hyemale,Vascular Plant,Adam-And-Eve Orchid,Least concern,109
Bryce,Aplodinotus grunniens,Fish,Freshwater Drum,Least concern,109
Bryce,Aplodontia rufa californica,Mammal,Sierra Nevada Mountain Beaver,Species of Concern,78
Bryce,Apocynum androsaemifolium,Vascular Plant,Spreading Dogbane,Least concern,175
Bryce,Apocynum cannabinum,Vascular Plant,Clasping-Leaf Dogbane,Least concern,202
Bryce,Apocynum cannabinum var. cannabinum,Vascular Plant,Indian Hemp,Least concern,115
Bryce,Apometzgeria pubescens,Nonvascular Plant,Apometzgeria,Least concern,95
Bryce,Aquila chrysaetos,Bird,Golden Eagle,Species of Concern,101
Bryce,Aquilegia canadensis,Vascular Plant,Columbine,Least concern,95
Bryce,Aquilegia coerulea,Vascular Plant,Colorado Blue Columbine,Least concern,134
Bryce,Aquilegia flavescens,Vascular Plant,Yellow Columbine,Least concern,102
Bryce,Aquilegia formosa,Vascular Plant,Crimson Columbine,Least concern,112
Bryce,Aquilegia pubescens,Vascular Plant,Sierra Columbine,Least concern,120
Bryce,Aquilegia vulgaris,Vascular Plant,European Columbine,Least concern,127
Bryce,Arabidopsis thaliana,Vascular Plant,Mouse-Ear Cress,Least concern,204
Bryce,Arabis X divaricarpa,Vascular Plant,Spreading Rockcress,Least concern,80
Bryce,Arabis canadensis,Vascular Plant,Sicklepod,Least concern,126
Bryce,Arabis davidsonii,Vascular Plant,Davidson's Rockcress,Least concern,103
Bryce,Arabis drummondii,Vascular Plant,Canadian Rockcress,Least concern,110
Bryce,Arabis glabra var. glabra,Vascular Plant,Rock Cress,Least concern,89
Bryce,Arabis hirsuta var. glabrata,Vascular Plant,Mountain Rockcress,Least concern,80
Bryce,Arabis hirsuta var. pycnocarpa,Vascular Plant,Creamflower Rockcress,Least concern,71
Bryce,Arabis holboellii var. pendulocarpa,Vascular Plant,Dropseed Rockcress,Least concern,116
Bryce,Arabis holboellii var. pinetorum,Vascular Plant,Holboell's Rockcress,Least concern,135
Bryce,Arabis holboellii var. retrofracta,Vascular Plant,Holboell Rock-Cress,Least concern,98
Bryce,Arabis inyoensis,Vascular Plant,Inyo Rockcress,Least concern,99
Bryce,Arabis laevigata,Vascular Plant,Smooth Rockcress,Least concern,105
Bryce,Arabis laevigata var. burkii,Vascular Plant,Burk's Rockcress,Least concern,78
Bryce,Arabis laevigata var. laevigata,Vascular Plant,Smooth Rockcress,Least concern,99
Bryce,Arabis lemmonii var. depauperata,Vascular Plant,Soldier Rockcress,Least concern,102
